mk_individual_id,mk_status_id,mk_individual_name,mk_individual_name_eng,mk_individual_first_name,mk_individual_first_name_eng,mk_individual_email,mk_individual_photo,PersonID,LastName,FirstName,GenderID,GenderDesc,Email,IsCurrent,LastUpdatedDate,altnames
1,1,אדלשטיין,Edelstein,יולי יואל,Yuli-Yoel,yedelstein@KNESSET.GOV.IL,http://fs.knesset.gov.il/globaldocs/MK/1/1_1_3_4.jpeg,532,אדלשטיין,יולי יואל,251,זכר,yedelstein@knesset.gov.il,True,2015-11-15 19:51:25,"[""יולי יואל אדלשטיין"", ""יואל אדלשטין"", ""יואל יולי אדלשטיין"", ""יולי - יואל אדלשטיין"", ""יולי אדלשטין"", ""יואל אדלשטיין""]"
2,,אדרי,Edery,רפאל,Raphael,,http://fs.knesset.gov.il/globaldocs/MK/2/1_2_3_9.jpeg,2128,אדרי,רפאל,251,זכר,,False,2015-03-20 12:03:08,"[""רפאל אדרי""]"
3,,אולמרט,Olmert,אהוד,Ehud,,http://fs.knesset.gov.il/globaldocs/MK/3/1_3_3_11.jpeg,1064,אולמרט,אהוד,251,זכר,,False,2015-03-20 12:03:08,"[""אהוד אולמרט""]"
4,,אור,Orr,אורי,Ori,,http://fs.knesset.gov.il/globaldocs/MK/4/1_4_3_13.jpeg,2132,אור,אורי,251,זכר,,False,2015-03-20 12:03:08,"[""אורי אור""]"
5,,אורון,Oron,חיים,Chaim,,http://fs.knesset.gov.il/globaldocs/MK/5/1_5_3_15.jpeg,1065,אורון,חיים,251,זכר,,False,2015-03-20 12:03:08,"[""חיים אורון""]"
6,,אושעיה,Oshaya,אפי,Efi,,http://fs.knesset.gov.il/globaldocs/MK/6/1_6_3_17.jpeg,432,אושעיה,אפי,251,זכר,,False,2015-03-20 12:03:08,"[""אפי אושעיה""]"
7,2,אזולאי,Azoulay,דוד,David,dazulay@KNESSET.GOV.IL,http://fs.knesset.gov.il/globaldocs/MK/7/1_7_3_21.jpeg,483,אזולאי,דוד,251,זכר,dazulay@knesset.gov.il,True,2015-11-15 19:46:40,"[""דויד אזולאי"", ""דוד אזולאי"", ""דוד אזולי"", ""דויד אזולי""]"
8,,איציק,Itzik,דליה,Dalia,,http://fs.knesset.gov.il/globaldocs/MK/8/1_8_3_27.jpeg,433,איציק,דליה,250,נקבה,,False,2015-03-20 12:03:08,"[""דליה איציק""]"
9,,איתן,Eitan,מיכאל,Michael,,http://fs.knesset.gov.il/globaldocs/MK/9/1_9_3_30.jpeg,462,איתן,מיכאל,251,זכר,,False,2015-05-27 13:22:59,"[""מיכאל איתן""]"
10,,איתן,Eitan,רפאל,Rafael,,http://fs.knesset.gov.il/globaldocs/MK/10/1_10_3_32.jpeg,2138,איתן,רפאל,251,זכר,,False,2015-03-20 12:03:08,"[""רפאל איתן""]"
11,,אלול,Elul,רפאל,Rafi,,http://fs.knesset.gov.il/globaldocs/MK/11/1_11_3_34.jpeg,2141,אלול,רפאל,251,זכר,,False,2015-03-20 12:03:08,"[""רפאל אלול""]"
12,,אלון,Elon,בנימין,Benyamin,,http://fs.knesset.gov.il/globaldocs/MK/12/1_12_3_36.jpeg,405,אלון,בנימין,251,זכר,,False,2015-03-20 12:03:08,"[""בנימין אלון""]"
13,,אלסאנע,El-Sana,טלב,Talab,,http://fs.knesset.gov.il/globaldocs/MK/13/1_13_3_39.jpeg,549,אלסאנע,טלב,251,זכר,,False,2015-03-20 12:03:08,"[""טלב אלסאנע""]"
14,1,בגין,Begin,זאב בנימין ,Ze`ev Binyamin,bbeni@KNESSET.GOV.IL,http://fs.knesset.gov.il/globaldocs/MK/14/1_14_3_43.jpeg,2178,בגין,זאב בנימין,251,זכר,bbeni@knesset.gov.il,True,2015-11-15 19:47:40,"[""בינימין בגין"", ""בנימין בגין"", ""זאב בנימין בגין""]"
15,,בדש,Badash,פיני,Pini,,http://fs.knesset.gov.il/globaldocs/MK/15/1_15_3_48.jpeg,2183,בדש,פיני,251,זכר,,False,2015-03-20 12:03:08,"[""פיני בדש""]"
